School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Kansas City,.394,-5.32,66.3,109.1,.321,.445,.545,53.4,49.9,11.2,10.1,.506,15.3,35.6,.244
Kansas State,.485,11.30,67.9,103.9,.276,.402,.532,48.8,59.0,10.8,9.2,.506,15.4,29.4,.191
Kennesaw State,.576,0.78,71.6,106.1,.368,.458,.539,54.2,51.2,9.2,11.6,.501,16.1,34.4,.265
Kent State,.667,0.89,67.7,108.6,.299,.379,.532,53.4,47.5,11.2,10.2,.496,14.4,36.3,.224
Kentucky,.667,21.62,72.7,117.0,.359,.417,.592,52.4,56.7,9.3,11.3,.560,13.3,28.7,.265
La Salle,.424,-3.04,69.6,103.1,.307,.335,.507,50.0,45.9,10.3,10.1,.469,13.1,31.0,.223
Lafayette,.394,-9.89,65.9,102.8,.304,.406,.533,48.6,60.1,8.7,9.8,.506,14.6,25.0,.208
Lamar,.606,-2.19,66.8,104.2,.284,.330,.513,52.4,58.6,11.1,14.2,.485,15.5,36.0,.195
Le Moyne,.281,-17.52,69.0,104.6,.367,.414,.560,47.9,55.0,9.8,6.1,.529,17.3,26.9,.259
Lehigh,.367,-10.02,67.3,103.6,.312,.379,.546,47.5,52.9,8.5,5.7,.521,14.3,22.2,.213
Liberty,.824,8.24,67.0,113.8,.293,.485,.602,49.2,61.2,9.8,7.7,.589,13.7,20.7,.194
Lindenwood,.485,-13.00,70.6,99.3,.358,.342,.506,49.3,44.2,11.7,10.9,.470,15.2,30.4,.243
Lipscomb,.735,5.07,68.0,116.2,.306,.472,.593,51.4,54.7,10.2,8.0,.558,12.5,25.7,.243
Little Rock,.576,-6.70,68.1,101.1,.289,.308,.531,48.2,53.0,13.2,16.4,.502,17.5,30.6,.204
Long Beach State,.219,-9.81,65.9,100.8,.360,.368,.541,48.3,49.5,8.5,8.5,.498,18.8,29.7,.272
Long Island University,.515,-10.69,65.5,101.5,.271,.340,.518,52.8,46.7,12.2,11.5,.488,16.6,33.6,.195
Longwood,.563,-4.42,70.6,110.8,.454,.339,.563,52.2,50.4,10.8,6.5,.519,15.2,33.1,.330
Louisiana,.364,-10.63,66.7,97.4,.305,.380,.497,44.4,44.9,11.0,8.4,.458,14.1,26.2,.222
Louisiana State,.438,10.27,69.5,105.0,.325,.435,.543,48.5,48.8,10.1,11.7,.511,16.1,29.5,.232
Louisiana Tech,.625,1.78,66.6,109.1,.342,.410,.571,53.0,58.4,9.5,11.5,.536,16.3,30.3,.256
Louisiana-Monroe,.219,-15.00,68.7,99.6,.309,.343,.501,49.1,52.8,10.3,7.0,.464,14.5,30.2,.220
Louisville,.794,19.30,69.0,113.5,.345,.481,.569,52.9,51.9,9.3,8.1,.534,14.2,32.2,.257
Loyola (IL),.667,3.77,67.5,107.6,.324,.420,.554,51.7,60.8,9.4,13.4,.532,15.5,30.2,.215
Loyola (MD),.387,-11.56,67.0,102.8,.295,.396,.529,50.3,55.0,10.7,7.9,.500,15.5,29.3,.206
Loyola Marymount,.531,1.48,68.7,103.6,.285,.404,.537,47.0,51.5,8.4,10.3,.507,13.6,22.9,.206
Maine,.588,-6.26,67.1,105.2,.281,.329,.551,46.1,56.4,13.5,10.3,.521,13.9,23.1,.206
Manhattan,.567,-7.24,67.4,110.4,.313,.417,.549,50.9,57.1,9.2,7.1,.510,14.6,33.2,.241
Marist,.667,-8.68,64.2,101.5,.224,.376,.522,52.7,55.8,8.9,9.7,.499,15.9,30.6,.158
Marquette,.697,18.89,68.1,112.0,.261,.463,.547,48.8,49.5,13.2,10.9,.520,11.7,30.1,.188
Marshall,.606,-2.16,69.2,109.0,.341,.403,.537,51.6,54.6,9.6,14.2,.505,14.1,33.5,.236
Maryland,.758,23.54,70.7,115.1,.329,.355,.573,52.3,50.4,11.1,12.0,.538,12.6,31.0,.249
Maryland-Baltimore County,.406,-11.23,71.6,110.0,.312,.387,.581,45.5,50.5,10.1,6.4,.559,14.2,22.0,.216
Maryland-Eastern Shore,.194,-20.47,68.7,98.2,.349,.367,.515,47.5,48.9,7.7,5.6,.484,17.0,27.8,.232
Massachusetts,.375,-2.47,71.0,101.2,.342,.321,.489,51.2,49.1,10.8,13.4,.455,13.6,34.8,.227
Massachusetts-Lowell,.531,-7.32,70.3,112.2,.341,.347,.594,52.0,53.7,8.3,10.4,.558,15.8,27.5,.263
McNeese State,.818,8.89,66.4,116.4,.352,.369,.574,52.7,51.0,13.6,11.4,.546,13.9,35.1,.250
Memphis,.848,12.51,71.3,111.1,.396,.336,.570,52.1,52.4,10.7,13.0,.537,16.5,34.7,.279
Mercer,.424,-8.34,72.4,103.9,.289,.402,.522,50.6,47.4,11.5,7.8,.500,14.2,29.7,.189
Mercyhurst,.484,-15.34,65.4,102.6,.308,.358,.539,44.8,57.0,11.1,6.9,.494,14.6,23.8,.247
