school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Valparaiso,.455,-3.38,66.4,99.4,.334,.328,.534,50.8,53.7,9.1,8.6,.502,17.5,27.0,.233
Vanderbilt,.281,3.57,68.9,98.5,.406,.422,.522,50.1,50.4,7.0,10.4,.486,17.9,28.9,.273
Vermont NCAA,.794,4.88,66.5,110.2,.359,.403,.568,53.2,46.2,8.3,11.9,.530,14.6,27.3,.269
Villanova NCAA,.722,14.33,65.0,112.2,.344,.535,.565,51.3,56.9,8.2,8.7,.532,14.2,30.1,.251
Virginia NCAA,.921,25.46,60.8,116.3,.291,.395,.580,53.9,55.9,9.0,13.0,.552,12.8,29.7,.216
Virginia Commonwealth NCAA,.758,11.96,69.0,102.1,.357,.412,.535,50.8,54.9,11.5,12.2,.501,17.3,31.0,.251
VMI,.344,-10.50,73.5,102.6,.294,.455,.541,47.2,52.4,9.1,5.1,.509,14.8,23.0,.215
Virginia Tech NCAA,.743,19.28,64.4,113.3,.319,.437,.588,51.9,59.5,10.4,8.4,.556,15.2,29.2,.243
Wagner,.433,-12.99,66.4,98.7,.339,.456,.501,52.0,53.6,9.2,12.0,.456,17.4,33.9,.252
Wake Forest,.355,1.21,68.8,98.6,.376,.353,.496,52.2,46.1,7.0,7.2,.448,16.3,33.7,.273
Washington NCAA,.750,12.01,67.4,103.2,.347,.399,.551,47.6,47.5,13.3,16.3,.521,17.4,28.8,.241
Washington State,.344,-1.67,71.6,104.4,.303,.445,.562,48.2,57.4,7.4,7.8,.528,17.1,25.2,.229
Weber State,.545,-4.37,73.4,107.2,.366,.354,.576,48.9,41.6,7.3,10.0,.540,14.4,19.7,.273
West Virginia,.417,6.94,71.7,101.5,.389,.391,.514,53.1,54.2,8.5,9.4,.475,17.7,36.6,.268
Western Carolina,.219,-9.28,71.3,99.8,.360,.459,.564,52.4,49.1,5.8,4.6,.539,22.0,28.7,.243
Western Illinois,.323,-10.04,69.5,101.6,.237,.337,.531,48.9,39.0,7.6,11.4,.505,14.6,22.7,.173
Western Kentucky,.588,3.14,69.0,102.0,.379,.318,.539,51.6,48.9,9.9,14.4,.499,17.1,29.0,.274
Western Michigan,.250,-6.26,70.2,98.5,.373,.397,.524,51.5,48.3,6.4,6.5,.487,18.6,30.0,.258
Wichita State,.595,7.72,69.3,101.4,.288,.391,.504,52.1,53.7,6.8,10.3,.469,14.7,32.1,.209
